user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
multiscale,smooth,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:10:40.998024
chebyshev,sharp,parametric,butterworth,laguerre,gaussian,0.3239,0.2634,0.3814,False,2025-06-12T12:10:43.558922
enhanced_basis,smooth,chebyshev,sharp,original,smooth,0.3209,0.2623,0.3786,False,2025-06-12T12:10:45.832615
spectral_basis,golden_036,multiscale,butterworth,legendre,smooth,0.2959,0.2498,0.3561,False,2025-06-12T12:10:47.865307
original,smooth,original,sharp,original,smooth,0.3187,0.2601,0.3744,False,2025-06-12T12:10:50.181659
hermite,butterworth,bernstein,golden_036,bandstop,notch,0.2997,0.2429,0.3391,False,2025-06-12T12:10:53.111617
harmonic,butterworth,jacobi,notch,spectral_basis,bandpass,0.2954,0.2442,0.3504,False,2025-06-12T12:10:55.435606
parametric,butterworth,ensemble,sharp,bernstein,band_stop,0.3223,0.2611,0.3768,False,2025-06-12T12:10:58.351047
laguerre,gaussian,chebyshev,golden_036,chebyshev,butterworth,0.3134,0.2589,0.3725,False,2025-06-12T12:11:00.687674
laguerre,bandpass,laguerre,bandpass,golden,sharp,0.3028,0.2522,0.3607,False,2025-06-12T12:11:02.759144
bandstop,notch,hermite,band_stop,golden,notch,0.3081,0.258,0.3691,False,2025-06-12T12:11:04.801051
original,band_stop,chebyshev,bandpass,adaptive_bandstop,smooth,0.3012,0.2551,0.3624,False,2025-06-12T12:11:06.864268
jacobi,golden_036,bernstein,smooth,spectral_basis,smooth,0.3147,0.2593,0.3729,False,2025-06-12T12:11:08.930745
multiscale,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:11:11.507491
original,golden_036,adaptive_bandstop,butterworth,laguerre,bandpass,0.3155,0.2582,0.3722,False,2025-06-12T12:11:13.830933
harmonic,golden_036,harmonic,gaussian,spectral_basis,notch,0.2957,0.2437,0.3497,False,2025-06-12T12:11:16.178054
original,notch,ensemble,golden_036,golden,smooth,0.3149,0.2589,0.3733,False,2025-06-12T12:11:18.515194
chebyshev,bandpass,chebyshev,gaussian,golden,notch,0.3173,0.2606,0.3748,False,2025-06-12T12:11:20.851604
