user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,timestamp
original,smooth,chebyshev,sharp,original,smooth,0.3206,0.2617,0.377,2025-06-12T11:46:53.732651
original,sharp,chebyshev,sharp,original,smooth,0.3237,0.2595,0.3772,2025-06-12T11:46:55.788105
original,golden_036,chebyshev,sharp,original,smooth,0.3227,0.2624,0.3796,2025-06-12T11:46:58.107747
original,butterworth,chebyshev,sharp,original,smooth,0.3202,0.2617,0.377,2025-06-12T11:47:00.446094
enhanced_basis,smooth,chebyshev,sharp,original,smooth,0.3209,0.2623,0.3786,2025-06-12T11:47:02.762986
enhanced_basis,sharp,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:47:05.114535
enhanced_basis,golden_036,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:47:07.416658
enhanced_basis,butterworth,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:47:09.746033
chebyshev,smooth,chebyshev,sharp,original,smooth,0.321,0.2622,0.3769,2025-06-12T11:47:12.597968
chebyshev,sharp,chebyshev,sharp,original,smooth,0.322,0.2622,0.3786,2025-06-12T11:47:15.200470
original,golden_036,adaptive_bandstop,sharp,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:47:17.534450
original,golden_036,jacobi,smooth,original,smooth,0.3221,0.2624,0.3794,2025-06-12T11:47:19.876833
original,golden_036,hermite,gaussian,original,smooth,0.3232,0.2628,0.3805,2025-06-12T11:47:22.193970
original,golden_036,legendre,golden_036,original,smooth,0.3225,0.2628,0.3797,2025-06-12T11:47:24.514862
original,golden_036,parametric,butterworth,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:47:26.836767
original,golden_036,golden,golden_036,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:47:29.173014
original,golden_036,chebyshev,bandpass,original,smooth,0.3233,0.263,0.3804,2025-06-12T11:47:31.500352
original,golden_036,bernstein,golden_036,original,smooth,0.3228,0.2627,0.3798,2025-06-12T11:47:33.828201
original,golden_036,parametric,bandpass,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:47:36.154286
original,golden_036,bernstein,smooth,original,smooth,0.3228,0.2626,0.3798,2025-06-12T11:47:38.465515
original,golden_036,chebyshev,band_stop,original,smooth,0.3221,0.2625,0.3796,2025-06-12T11:47:40.764283
original,golden_036,spectral_basis,smooth,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:47:43.051305
original,golden_036,chebyshev,butterworth,original,smooth,0.3224,0.2626,0.3796,2025-06-12T11:47:45.374833
original,golden_036,jacobi,butterworth,original,smooth,0.3223,0.2627,0.3796,2025-06-12T11:47:47.695473
original,golden_036,hermite,butterworth,original,smooth,0.3231,0.2628,0.3806,2025-06-12T11:47:50.048216
original,golden_036,golden,smooth,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:47:52.375238
original,golden_036,adaptive_bandstop,band_stop,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:47:54.721952
original,golden_036,laguerre,golden_036,original,smooth,0.315,0.2572,0.3707,2025-06-12T11:47:57.053065
original,golden_036,parametric,golden_036,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:47:59.359859
original,golden_036,jacobi,band_stop,original,smooth,0.3225,0.263,0.3799,2025-06-12T11:48:01.692535
original,golden_036,laguerre,butterworth,original,smooth,0.3153,0.2576,0.3711,2025-06-12T11:48:04.009239
original,golden_036,golden,bandpass,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:48:06.379781
original,golden_036,jacobi,bandpass,original,smooth,0.3227,0.2624,0.3798,2025-06-12T11:48:08.690520
original,golden_036,golden,sharp,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:48:11.010098
original,golden_036,enhanced_basis,bandpass,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:48:13.337496
original,golden_036,multiscale,gaussian,original,smooth,0.3235,0.2632,0.3805,2025-06-12T11:48:15.626944
original,golden_036,spectral_basis,gaussian,original,smooth,0.3229,0.2629,0.3802,2025-06-12T11:48:17.922948
original,golden_036,hermite,sharp,original,smooth,0.3233,0.2628,0.3805,2025-06-12T11:48:20.308047
original,golden_036,adaptive_bandstop,gaussian,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:48:22.612770
original,golden_036,enhanced_basis,sharp,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:48:24.921652
original,golden_036,golden,band_stop,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:48:27.240189
original,golden_036,enhanced_basis,band_stop,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:48:29.552532
original,golden_036,original,sharp,original,smooth,0.3202,0.261,0.3775,2025-06-12T11:48:31.878214
original,golden_036,harmonic,butterworth,original,smooth,0.3227,0.2628,0.3801,2025-06-12T11:48:34.202806
original,golden_036,golden,gaussian,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:48:36.547894
original,golden_036,parametric,notch,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:48:38.968385
original,golden_036,bandstop,golden_036,original,smooth,0.3232,0.2633,0.3803,2025-06-12T11:48:41.313183
original,golden_036,original,gaussian,original,smooth,0.3158,0.2581,0.3714,2025-06-12T11:48:43.640621
original,golden_036,parametric,gaussian,original,smooth,0.3237,0.2636,0.3807,2025-06-12T11:48:45.978721
original,golden_036,legendre,butterworth,original,smooth,0.3223,0.2627,0.3796,2025-06-12T11:48:48.407266
original,golden_036,enhanced_basis,smooth,original,smooth,0.3179,0.2598,0.3737,2025-06-12T11:48:50.814160
original,golden_036,ensemble,smooth,original,smooth,0.3228,0.2627,0.3802,2025-06-12T11:48:53.242868
original,golden_036,laguerre,sharp,original,smooth,0.3182,0.2597,0.3743,2025-06-12T11:48:55.648218
original,golden_036,original,butterworth,original,smooth,0.3157,0.258,0.3713,2025-06-12T11:48:58.116066
original,golden_036,spectral_basis,butterworth,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:49:00.635065
original,golden_036,harmonic,golden_036,original,smooth,0.3227,0.2628,0.3801,2025-06-12T11:49:03.243941
original,golden_036,legendre,notch,original,smooth,0.3232,0.2628,0.3801,2025-06-12T11:49:05.799914
original,golden_036,harmonic,notch,original,smooth,0.3227,0.2628,0.3801,2025-06-12T11:49:08.346482
original,golden_036,bandstop,band_stop,original,smooth,0.3232,0.2633,0.3803,2025-06-12T11:49:10.892054
original,golden_036,multiscale,smooth,original,smooth,0.3235,0.2632,0.3805,2025-06-12T11:49:13.417453
original,golden_036,parametric,butterworth,bandstop,gaussian,0.3192,0.2592,0.3764,2025-06-12T11:49:15.995300
original,golden_036,parametric,butterworth,adaptive_bandstop,band_stop,0.3221,0.262,0.3793,2025-06-12T11:49:18.563328
original,golden_036,parametric,butterworth,bernstein,gaussian,0.32,0.2598,0.3768,2025-06-12T11:49:21.099598
original,golden_036,parametric,butterworth,spectral_basis,band_stop,0.321,0.2616,0.378,2025-06-12T11:49:23.666253
original,golden_036,parametric,butterworth,adaptive_bandstop,smooth,0.3221,0.262,0.3793,2025-06-12T11:49:26.237929
original,golden_036,parametric,butterworth,harmonic,bandpass,0.3176,0.2579,0.3746,2025-06-12T11:49:28.865721
original,golden_036,parametric,butterworth,original,golden_036,0.319,0.2612,0.376,2025-06-12T11:49:31.413788
original,golden_036,parametric,butterworth,bernstein,band_stop,0.32,0.2598,0.3768,2025-06-12T11:49:33.961762
original,golden_036,parametric,butterworth,parametric,gaussian,0.3179,0.2588,0.375,2025-06-12T11:49:36.662552
original,golden_036,parametric,butterworth,laguerre,band_stop,0.3226,0.2625,0.38,2025-06-12T11:49:39.337894
original,golden_036,parametric,butterworth,bandstop,butterworth,0.3192,0.2592,0.3764,2025-06-12T11:49:41.963483
original,golden_036,parametric,butterworth,harmonic,notch,0.3176,0.2579,0.3746,2025-06-12T11:49:44.528184
original,golden_036,parametric,butterworth,parametric,butterworth,0.3179,0.2588,0.375,2025-06-12T11:49:47.117807
original,golden_036,parametric,butterworth,ensemble,sharp,0.3202,0.2601,0.3772,2025-06-12T11:49:49.790724
original,golden_036,parametric,butterworth,enhanced_basis,bandpass,0.3222,0.2619,0.3797,2025-06-12T11:49:52.396478
original,golden_036,parametric,butterworth,adaptive_bandstop,bandpass,0.3221,0.262,0.3793,2025-06-12T11:49:55.055278
original,golden_036,parametric,butterworth,chebyshev,smooth,0.3203,0.2601,0.3772,2025-06-12T11:49:57.484502
original,golden_036,parametric,butterworth,spectral_basis,butterworth,0.321,0.2616,0.378,2025-06-12T11:49:59.897278
original,golden_036,parametric,butterworth,chebyshev,sharp,0.3201,0.26,0.377,2025-06-12T11:50:02.527384
original,golden_036,parametric,butterworth,multiscale,butterworth,0.318,0.2586,0.3752,2025-06-12T11:50:05.135931
original,golden_036,parametric,butterworth,bernstein,notch,0.3199,0.2595,0.3766,2025-06-12T11:50:08.005329
original,golden_036,parametric,butterworth,enhanced_basis,smooth,0.3222,0.2618,0.3797,2025-06-12T11:50:10.607985
original,golden_036,parametric,butterworth,multiscale,notch,0.318,0.2586,0.3752,2025-06-12T11:50:12.956607
original,golden_036,parametric,butterworth,enhanced_basis,gaussian,0.3222,0.2619,0.3797,2025-06-12T11:50:15.361862
original,golden_036,parametric,butterworth,hermite,sharp,0.3157,0.2574,0.373,2025-06-12T11:50:17.813110
original,golden_036,parametric,butterworth,laguerre,golden_036,0.3228,0.2627,0.3802,2025-06-12T11:50:20.260521
original,golden_036,parametric,butterworth,spectral_basis,sharp,0.321,0.2616,0.378,2025-06-12T11:50:22.621433
original,golden_036,parametric,butterworth,chebyshev,butterworth,0.3209,0.2609,0.3775,2025-06-12T11:50:25.090726
original,golden_036,parametric,butterworth,enhanced_basis,golden_036,0.3222,0.2619,0.3798,2025-06-12T11:50:27.510155
original,golden_036,parametric,butterworth,laguerre,gaussian,0.323,0.263,0.3805,2025-06-12T11:50:29.886698
original,golden_036,parametric,butterworth,multiscale,smooth,0.318,0.2586,0.3752,2025-06-12T11:50:32.365808
original,golden_036,parametric,butterworth,bandstop,band_stop,0.3192,0.2592,0.3764,2025-06-12T11:50:34.778305
original,golden_036,parametric,butterworth,golden,notch,0.3215,0.2616,0.3786,2025-06-12T11:50:37.122812
original,golden_036,parametric,butterworth,original,sharp,0.3226,0.2626,0.38,2025-06-12T11:50:39.457183
original,golden_036,parametric,butterworth,chebyshev,notch,0.3199,0.26,0.3769,2025-06-12T11:50:41.805151
original,golden_036,parametric,butterworth,jacobi,bandpass,0.3189,0.259,0.3762,2025-06-12T11:50:44.409996
original,golden_036,parametric,butterworth,bandstop,sharp,0.3192,0.2592,0.3764,2025-06-12T11:50:46.784051
original,golden_036,parametric,butterworth,bandstop,smooth,0.3192,0.2592,0.3764,2025-06-12T11:50:49.212175
original,golden_036,parametric,butterworth,bandstop,notch,0.3192,0.2592,0.3764,2025-06-12T11:50:51.811120
