u_eigen,i_eigen,b_eigen,ndcg,recall,precision
135,300,400,0.10266013696919676,0.13708903529042457,0.042209793020296045
110,300,400,0.10205787075556144,0.13650695940918448,0.042054055864424934
135,300,375,0.10193670781950895,0.13627032114877527,0.04199209592069127
85,300,400,0.10184347253199119,0.1363221533443706,0.04197534998995245
135,300,350,0.10179458856572318,0.13601655914779032,0.0419284613838837
60,300,400,0.10175070770415519,0.13611795186906334,0.04195358027999197
135,300,325,0.10172311582686008,0.13595930365828554,0.04189162033625829
135,300,300,0.10169775519898333,0.13587240454797758,0.041874874405519465
35,300,400,0.10168925177387672,0.13597074246882945,0.04194688190769642
135,300,275,0.1016618229141295,0.13576831612176538,0.041864826847076174
135,300,225,0.10164928356750343,0.1358600727371849,0.04186650144015005
135,300,250,0.1016378076168316,0.135770649947379,0.04185310469555898
10,300,400,0.10162706628300847,0.13594334921611945,0.04194185812847477
135,300,200,0.10160570964691232,0.13577187194785226,0.0418413825440418
135,300,175,0.10158455854009614,0.13569933564535877,0.041826311206376865
135,300,100,0.1015628407036342,0.13559595841258676,0.041826311206376844
135,300,125,0.10155202115142385,0.1356178784853033,0.041819612834081324
135,300,150,0.10154118633860325,0.13561903248143908,0.04181626364793356
135,300,75,0.10152311865537048,0.13553200683855032,0.04181626364793355
135,300,50,0.10142105159374282,0.13540892099682222,0.0417911447518253
110,300,375,0.1012970887518779,0.1357941253498223,0.04185310469555897
110,300,350,0.10111227232693111,0.1355246723190385,0.041786120972603646
85,300,375,0.10103398117359566,0.13550319574330283,0.04173923236653494
110,300,325,0.10100894812795938,0.13546710983786342,0.04175597829727375
110,300,300,0.10099615941920671,0.13538414163211548,0.04174258155268269
110,300,275,0.10097638611449962,0.1353183824471981,0.04173755777346104
110,300,225,0.1009595863343089,0.13526601992625203,0.041727510215017735
110,300,250,0.1009546071498513,0.13519461182159526,0.041724161028869985
60,300,375,0.10093350450099126,0.13522214288657886,0.04173085940116552
110,300,200,0.10088196796732242,0.13523018481193594,0.0417124388773528
110,300,125,0.10087083531743342,0.1352117290813879,0.041695692946613946
110,300,150,0.10086606198500764,0.13516460280473092,0.04169234376046619
110,300,100,0.10086429547670028,0.13521784357668,0.041704065911983376
110,300,175,0.10085827632685362,0.13512532245239506,0.041692343760466204
85,300,350,0.10085705329379285,0.13523369218880874,0.04167559782972739
35,300,375,0.10083414760889105,0.1351917868374262,0.04172751021501776
110,300,75,0.10080198612816244,0.13508207191493626,0.04167727242280127
10,300,375,0.10078421293160225,0.1351023799054129,0.04170741509813114
85,300,275,0.10075713292804829,0.13510163542675674,0.04167559782972738
85,300,325,0.10074978703755884,0.13513517724873936,0.041670574050505726
60,300,350,0.10074661280891326,0.13498886117637596,0.041650478933619145
85,300,300,0.10074527299258175,0.1350804540447397,0.041665550271284074
110,300,50,0.10073505199979103,0.135052035084729,0.04168731998124456
85,300,250,0.10069137761240751,0.13496804528667988,0.041652153526693
85,300,225,0.10067350163772272,0.13504076989562372,0.041667224864357956
85,300,150,0.10064999750495268,0.13494129682049974,0.041638756782101945
85,300,125,0.10064879096006044,0.13497029155456236,0.04164210596824973
35,300,350,0.1006433102851816,0.13495132582193056,0.041655502712840776
85,300,175,0.10064232534188286,0.13493531081249127,0.04164880434054525
60,300,325,0.10063948061344152,0.13485432597961114,0.04163038381673253
85,300,200,0.10062464015489925,0.13493767329731296,0.04163875678210196
60,300,275,0.1005976673273628,0.1347584284469478,0.04161866166521535
85,300,100,0.1005967426688952,0.13491903789455187,0.04164545515439747
60,300,300,0.10059242468575179,0.13472899661064325,0.04160861410677205
10,300,350,0.10059206644185785,0.13488320460972764,0.041647129747471354
35,300,325,0.10058287214563397,0.13483619055979798,0.04163708218902807
85,300,75,0.10055689745934575,0.13483105379120197,0.04162703463058477
