user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,timestamp
original,smooth,chebyshev,sharp,original,smooth,0.3206,0.2617,0.377,2025-06-12T11:34:54.480476
original,sharp,chebyshev,sharp,original,smooth,0.3237,0.2595,0.3772,2025-06-12T11:34:56.538021
original,golden_036,chebyshev,sharp,original,smooth,0.3227,0.2624,0.3796,2025-06-12T11:34:58.854851
original,butterworth,chebyshev,sharp,original,smooth,0.3202,0.2617,0.377,2025-06-12T11:35:01.166279
enhanced_basis,smooth,chebyshev,sharp,original,smooth,0.3209,0.2623,0.3786,2025-06-12T11:35:03.504461
enhanced_basis,sharp,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:35:05.884863
enhanced_basis,golden_036,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:35:08.222772
enhanced_basis,butterworth,chebyshev,sharp,original,smooth,0.3209,0.2622,0.3785,2025-06-12T11:35:10.548995
chebyshev,smooth,chebyshev,sharp,original,smooth,0.321,0.2622,0.3769,2025-06-12T11:35:13.102108
chebyshev,sharp,chebyshev,sharp,original,smooth,0.322,0.2622,0.3786,2025-06-12T11:35:15.667902
original,golden_036,adaptive_bandstop,bandpass,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:35:18.000419
original,golden_036,ensemble,gaussian,original,smooth,0.3229,0.2629,0.3802,2025-06-12T11:35:20.322311
original,golden_036,multiscale,bandpass,original,smooth,0.3235,0.2632,0.3805,2025-06-12T11:35:22.647602
original,golden_036,adaptive_bandstop,smooth,original,smooth,0.3215,0.2612,0.378,2025-06-12T11:35:24.950944
original,golden_036,ensemble,band_stop,original,smooth,0.3229,0.2628,0.3801,2025-06-12T11:35:27.331478
original,golden_036,bernstein,sharp,original,smooth,0.323,0.2629,0.3803,2025-06-12T11:35:29.666580
original,golden_036,golden,gaussian,original,smooth,0.3224,0.2619,0.3796,2025-06-12T11:35:31.983996
original,golden_036,multiscale,smooth,original,smooth,0.3235,0.2632,0.3805,2025-06-12T11:35:34.303327
original,golden_036,bandstop,notch,original,smooth,0.3232,0.2633,0.3803,2025-06-12T11:35:36.628824
